"Video","Video"
"Play video: %1","Play video: %1"
"Your browser does not support the video tag.","Your browser does not support the video tag."
"-- Use the location --","-- Use the location --"
"carousel","carousel"
"Pause autoplay","Pause autoplay"
"Start autoplay","Start autoplay"
"Play background video","Play background video"
"Pause background video","Pause background video"
"Previous slide","Previous slide"
"Next slide","Next slide"
"Go to first slide","Go to first slide"
"Go to last slide","Go to last slide"
"Go to slide %s","Go to slide %s"
"Go to page %s","Go to page %s"
"Select a slide to show","Select a slide to show"
"slide","slide"
"%s of %s","%s of %s"
"Banner Slider","Banner Slider"
"Displays a banner slider chosen by slider or by location","Displays a banner slider chosen by slider or by location"
"Slider","Slider"
"The slider to show. Takes precedence over the location.","The slider to show. Takes precedence over the location."
"Location","Location"
"Location code: the slider with the lowest priority value placed there is shown. Used when no slider is chosen. The widget shows nothing when neither finds a slider.","Location code: the slider with the lowest priority value placed there is shown. Used when no slider is chosen. The widget shows nothing when neither finds a slider."
"Template","Template"
"Default Slider Template","Default Slider Template"
"Banner","Banner"
